nombre,edad,departamento,ventas,clientes
Sofia,49.0,Ventas,2763.0,52.0
Carlos,36.0,Ventas,502.0,
Jorge,39.0,Marketing,659.0,32.0
Lucia,44.0,Marketing,1280.0,89.0
Sofia,41.0,Soporte,1392.0,56.0
Raul,32.0,Soporte,2530.0,24.0
Marta,38.0,Marketing,2876.0,34.0
Sofia,55.0,Marketing,1079.0,45.0
Jorge,31.0,Soporte,2433.0,84.0
Lucia,38.0,Ventas,1880.0,60.0
Carlos,31.0,Marketing,1790.0,24.0
Jorge,28.0,Soporte,2140.0,77.0
Jorge,26.0,Ventas,1451.0,30.0
Marta,47.0,Marketing,,22.0
Pedro,33.0,Ventas,1718.0,95.0
Lucia,50.0,Soporte,1420.0,28.0
Luis,38.0,Marketing,1855.0,43.0
Jorge,35.0,Ventas,669.0,87.0
Pedro,24.0,Marketing,1020.0,77.0
Luis,54.0,Ventas,1986.0,61.0
Lucia,31.0,Soporte,539.0,36.0
Ana,44.0,Soporte,2060.0,38.0
Raul,40.0,Marketing,1918.0,37.0
Pedro,55.0,Ventas,1454.0,44.0
Elena,42.0,Marketing,,17.0
Ana,35.0,Marketing,1474.0,25.0
Raul,58.0,Ventas,537.0,45.0
Marta,58.0,Ventas,2875.0,39.0
Sofia,33.0,Ventas,1774.0,27.0
Carlos,50.0,Soporte,1699.0,11.0
Elena,24.0,Marketing,2125.0,58.0
Marta,54.0,Marketing,1413.0,86.0
Lucia,42.0,Soporte,953.0,13.0
Marta,48.0,Ventas,536.0,99.0
Sofia,30.0,Soporte,2211.0,98.0
Lucia,37.0,Soporte,1295.0,84.0
Elena,,Soporte,1472.0,16.0
Sofia,28.0,Marketing,1092.0,83.0
Luis,29.0,Soporte,1637.0,48.0
Carlos,36.0,Marketing,,22.0
Elena,57.0,Marketing,2771.0,40.0
Luis,26.0,Marketing,817.0,80.0
Raul,32.0,Ventas,2896.0,72.0
Elena,59.0,Marketing,2662.0,65.0
Raul,28.0,Marketing,1846.0,51.0
Lucia,46.0,Ventas,2091.0,70.0
Luis,21.0,Marketing,2389.0,51.0
Carlos,24.0,Soporte,2587.0,65.0
Sofia,48.0,Soporte,2496.0,45.0
Jorge,56.0,Marketing,2272.0,93.0
Marta,57.0,Ventas,1812.0,77.0
Ana,38.0,Soporte,1785.0,16.0
Carlos,27.0,Ventas,715.0,63.0
Luis,20.0,Ventas,2883.0,10.0
